Protein ID,Identified Length,Gene ID,Protein Name,Organism Name,Taxonomic ID,Molecular Function-GO Annot,Molecular Function-Keyword,Biological processes-GO Annot,Biological processes-Keywords,Cellular Component-Go Annot,Cellular Component-Keywords,Disease-OMIM ID,Disease-Keywords,Technical Terms-Keywords,Polymorphism
C4LTF8,167,3401880,Ras family GTPase,Entamoeba histolytica,5759,"GDP binding, GTPase activity, GTP binding",nan,Ras protein signal transduction,nan,Plasma Membrane,nan,nan,nan,Reference proteome,nan
C4LW15,167,3406761,Rho family GTPase,Entamoeba histolytica,5759,"GTPase activity, GTP binding, protein kinase binding",nan,"actin filament organization, cortical cytoskeleton organization, establishment or maintenance of cell polarity, regulation of actin cytoskeleton organization, regulation of cell shape",nan,"Cytoskeleton, Plasma Membrane, Other locations",nan,nan,nan,Reference proteome,nan
E4XGP5,167,,Uncharacterized protein,Oikopleura dioica (Tunicate),34765,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
J9DRY1,167,,Small GTP-binding protein domain,Edhazardia aedis (strain USNM 41457) (Microsporidian parasite),1003232,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
L8H0S4,167,14919632,Ras subfamily protein,Acanthamoeba castellanii str. Neff,1257118,"GTPase activator activity, GTPase activity, GTP binding",GTPase activation,positive regulation of GTPase activity,nan,nan,nan,nan,nan,Reference proteome,nan
M7CF84,167,,WD repeat-containing protein 90,Chelonia mydas (Green sea-turtle) (Chelonia agassizi),8469,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,nan,nan,"Mitochondrion, Other locations",nan,nan,nan,Reference proteome,nan
Q3SDH9,167,5021513,Rab_C100 protein,Paramecium tetraurelia,5888,"GTPase activity, GTP binding",nan,"protein secretion, regulation of exocytosis, vesicle docking involved in exocytosis",nan,nan,nan,nan,nan,Reference proteome,nan
Q54FK8,167,8627829,Ras-related protein RabM,Dictyostelium discoideum (Slime mold),44689,"GTPase activity, GTP binding",nan,phagosome-lysosome fusion,nan,"Endosome, Lysosome, Plasma Membrane, Vacuole, Other locations",nan,nan,nan,Reference proteome,nan
Q5B8F9,167,2874531,"Rho-like small GTPase, putative (AFU_orthologue AFUA_3G13340)",Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans),227321,"GTPase activity, GTP binding, protein kinase binding",nan,"actin filament organization, cortical cytoskeleton organization, establishment or maintenance of cell polarity, regulation of actin cytoskeleton organization, regulation of cell shape",nan,"Cytoskeleton, Plasma Membrane, Other locations",nan,nan,nan,Reference proteome,nan
R7QM49,167,17317565,Mitochondrial Rho GTPase,Chondrus crispus (Carrageen Irish moss) (Polymorpha crispa),2769,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A024GDK5,168,,Uncharacterized protein,Albugo candida,65357,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0G4IN00,168,,Uncharacterized protein,Plasmodiophora brassicae (Clubroot disease),37360,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0L0RZE7,168,,Small GTP-binding protein domain,Allomyces macrogynus (strain ATCC 38327) (Allomyces javanicus var. macrogynus),578462,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0V0QAN0,168,,Protein kinase-like domain,Pseudocohnilembus persalinus (Ciliate),266149,"ATP binding, GTPase activity, GTP binding, protein kinase activity","Kinase, Transferase",nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0V0QBZ1,168,,p-loop containing nucleoside triphosphate hydrolase,Pseudocohnilembus persalinus (Ciliate),266149,"GTPase activity, GTP binding",Hydrolase,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A139AIH0,168,,p-loop containing nucleoside triphosphate hydrolase protein,Gonapodya prolifera (strain JEL478) (Monoblepharis prolifera),1344416,"GTPase activity, GTP binding",Hydrolase,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A183WJE1,168,,Uncharacterized protein,Trichobilharzia regenti (Nasal bird schistosome),157069,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A1D2M749,168,,GTP-binding nuclear protein Ran,Orchesella cincta (Springtail),48709,"GTPase activity, GTP binding",nan,nucleocytoplasmic transport,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1D2MPZ8,168,,NF-kappa-B inhibitor-interacting Ras-like protein 1,Orchesella cincta (Springtail),48709,"GTPase activity, GTP binding",nan,I-kappaB kinase/NF-kappaB signaling,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1J4KVC5,168,,Rho-related GTP-binding protein RhoQ,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,small GTPase mediated signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1J4L1T1,168,,Ras-related protein Rab-32A,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1R2CG16,168,,Uncharacterized protein,Stentor coeruleus,5963,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1V9XR86,168,,Ras protein family member 10B-like,Tropilaelaps mercedesae,418985,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A1Y1VFC2,168,,p-loop containing nucleoside triphosphate hydrolase protein,Piromyces finnis,1754191,"GTPase activity, GTP binding",Hydrolase,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1Y2H4A2,168,,p-loop containing nucleoside triphosphate hydrolase protein,Catenaria anguillulae PL171,765915,"GTPase activity, GTP binding",Hydrolase,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A210R552,168,,DDB1-and CUL4-associated factor 17,Mizuhopecten yessoensis (Japanese scallop) (Patinopecten yessoensis),6573,"GTPase activity, GTP binding",nan,protein ubiquitination,nan,nan,nan,nan,nan,Reference proteome,nan
A0A267H1A5,168,,Uncharacterized protein,Macrostomum lignano,282301,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A2K3E7V0,168,5715694,Uncharacterized protein,Chlamydomonas reinhardtii (Chlamydomonas smithii),3055,"GTPase activity, GTP binding",nan,nan,nan,"Endosome, Golgi apparatus",nan,nan,nan,Reference proteome,nan
A0A2P8Y105,168,,Intraflagellar transport protein 27,Blattella germanica (German cockroach) (Blatta germanica),6973,"GTPase activity, GTP binding",nan,nan,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A2V0NP08,168,,Mitochondrial Rho GTPase,Raphidocelis subcapitata,307507,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A3S3PJL3,168,,Intraflagellar transport protein 27-like protein,Dinothrombium tinctorium,1965070,"GTPase activity, GTP binding",nan,nan,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A3S3RT25,168,,NF-kappa-B inhibitor-interacting Ras-like protein 1,Dinothrombium tinctorium,1965070,"GTPase activity, GTP binding",nan,I-kappaB kinase/NF-kappaB signaling,nan,nan,nan,nan,nan,Reference proteome,nan
A0A451BZI9,168,,WD40 repeat,Candidatus Kentron sp. G,2126341,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A482WPQ1,168,,Uncharacterized protein,Laodelphax striatellus (Small brown planthopper) (Delphax striatella),195883,"GTPase activity, GTP binding",nan,I-kappaB kinase/NF-kappaB signaling,nan,nan,nan,nan,nan,Reference proteome,nan
A0A507EEU7,168,,Uncharacterized protein,Powellomyces hirtus,109895,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A553PC14,168,,Cupin_8 domain-containing protein,Tigriopus californicus (Marine copepod),6832,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A5A8D0G7,168,,Uncharacterized protein,Cafeteria roenbergensis (Marine flagellate),33653,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A5B9DAH6,168,,Ras family protein,Candidatus Prometheoarchaeum syntrophicum,2594042,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A6A5BQG9,168,,Uncharacterized protein,Naegleria fowleri (Brain eating amoeba),5763,"GTPase activity, GTP binding",nan,"nucleocytoplasmic transport, protein transport","Protein transport, Transport",Nucleus,nan,nan,nan,Reference proteome,nan
A0A6A5BSX3,168,,Uncharacterized protein,Naegleria fowleri (Brain eating amoeba),5763,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0CM74,168,5025073,Uncharacterized protein,Paramecium tetraurelia,5888,"GTPase activity, GTP binding, protein kinase binding",nan,"actin filament organization, cortical cytoskeleton organization, establishment or maintenance of cell polarity, regulation of actin cytoskeleton organization, regulation of cell shape",nan,"Cytoskeleton, Plasma Membrane, Other locations",nan,nan,nan,Reference proteome,nan
A7RZ86,168,,Predicted protein,Nematostella vectensis (Starlet sea anemone),45351,"GDP binding, GTPase activity, GTP binding",nan,signal transduction,nan,Plasma Membrane,nan,nan,nan,Reference proteome,nan
A9UVP4,168,5889775,Predicted protein,Monosiga brevicollis (Choanoflagellate),81824,"GTPase activity, GTP binding, metal ion binding",Hydrolase,"mitochondrion organization, mitochondrion transport along microtubule, regulation of mitochondrion organization",nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
B5YNM9,168,7447158,Rab-type small GTPase,Thalassiosira pseudonana (Marine diatom) (Cyclotella nana),35128,"GTPase activity, GTP binding",nan,intracellular protein transport,nan,"Golgi apparatus, Other locations",nan,nan,nan,Reference proteome,nan
B7XHJ8,168,,GTPase SAR1 related small G protein,Enterocytozoon bieneusi (strain H348) (Microsporidian parasite),481877,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
C4LWN8,168,3403226,"Small GTPase Rab 32, putative",Entamoeba histolytica,5759,"GTPase activity, GTP binding",nan,"intracellular protein transport, melanosome organization",nan,"Golgi apparatus, Mitochondrion, Other locations",nan,nan,nan,Reference proteome,nan
C5LC75,168,9042308,Malic enzyme,Perkinsus marinus (strain ATCC 50983 / TXsc),423536,"GTPase activity, GTP binding, malate dehydrogenase (decarboxylating) (NAD+) activity, metal ion binding, NAD binding",Oxidoreductase,nan,nan,nan,nan,nan,nan,Reference proteome,nan
D7FK72,168,,"Rab32L, RAB family GTPase",Ectocarpus siliculosus (Brown alga) (Conferva siliculosa),2880,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
D8M2J5,168,24919513,Calmodulin,Blastocystis hominis,12968,"calcium ion binding, GTPase activity, GTP binding",nan,nan,nan,"Mitochondrion, Other locations",nan,nan,nan,Reference proteome,nan
F2LW67,168,,Small GTP-binding protein,Hippea maritima (strain ATCC 700847 / DSM 10411 / MH2),760142,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
G4VRU6,168,8342660,Putative ras-dva small gtpase,Schistosoma mansoni (Blood fluke),6183,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
L8H8Z9,168,14922095,Ras subfamily protein,Acanthamoeba castellanii str. Neff,1257118,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
Q5NT19,168,3405515,Ras-related protein Rab,Entamoeba histolytica,5759,"GTPase activity, GTP binding",nan,"intracellular protein transport, melanosome organization, vesicle-mediated transport",nan,"Golgi apparatus, Mitochondrion, Other locations",nan,nan,nan,Reference proteome,nan
Q6IML4,168,7445880,RBJ-like protein,Thalassiosira pseudonana (Marine diatom) (Cyclotella nana),35128,"GTPase activity, GTP binding",nan,intracellular protein transport,nan,nan,nan,nan,nan,Reference proteome,nan
V5IPF8,168,23569529,Uncharacterized protein,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),367110,"GTPase activity, GTP binding, protein kinase binding",nan,"actin filament organization, cortical cytoskeleton organization, establishment or maintenance of cell polarity, regulation of actin cytoskeleton organization, regulation of cell shape",nan,"Cytoskeleton, Plasma Membrane, Other locations",nan,nan,nan,Reference proteome,nan
W7XE00,168,24441371,Miro-like protein,Tetrahymena thermophila (strain SB210),312017,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A024GIM1,169,,Uncharacterized protein,Albugo candida,65357,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0D8XIN9,169,,Ras family protein,Dictyocaulus viviparus (Bovine lungworm),29172,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0G4EDS3,169,,J domain-containing protein,Vitrella brassicaformis (strain CCMP3155),1169540,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0M0K9G0,169,,Small gtp-binding protein rab1,Chrysochromulina tobinii,1460289,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0R3VW02,169,,Uncharacterized protein,Taenia asiatica (Asian tapeworm),60517,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0S4JUQ8,169,,"Ras-related GTP-binding protein, putative",Bodo saltans (Flagellated protozoan),75058,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A165AE16,169,,p-loop containing nucleoside triphosphate hydrolase protein,Sistotremastrum niveocremeum HHB9708,1314777,"GTPase activity, GTP binding",Hydrolase,small GTPase mediated signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
A0A183AUU5,169,,Uncharacterized protein,Echinostoma caproni,27848,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A183SGC8,169,,Uncharacterized protein,Schistocephalus solidus (Tapeworm),70667,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1S3J762,169,106170379,ras-related protein RABD2c,Lingula unguis,7574,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A226E3E7,169,,Rho-related protein racG,Folsomia candida (Springtail),158441,"GTPase activity, GTP binding",nan,small GTPase mediated signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
A0A267DW32,169,,Uncharacterized protein,Macrostomum lignano,282301,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2G8JIF6,169,,Putative NF-kappa-B inhibitor-interacting Ras-like protein 2,Stichopus japonicus (Sea cucumber),307972,"GTPase activity, GTP binding",nan,I-kappaB kinase/NF-kappaB signaling,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2J7PSG3,169,,NF-kappa-B inhibitor-interacting Ras-like protein,Cryptotermes secundus,105785,"GTPase activity, GTP binding",nan,I-kappaB kinase/NF-kappaB signaling,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2P6NGW5,169,,Uncharacterized protein,Planoprotostelium fungivorum,1890364,"GTPase activity, GTP binding, guanyl-nucleotide exchange factor activity",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2T7PDD7,169,,Uncharacterized protein,Pomacea canaliculata (Golden apple snail),400727,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A4E0S165,169,,GTP-binding protein Di-Ras2,Fasciola hepatica (Liver fluke),6192,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A4P9X1Y6,169,,Uncharacterized protein,Caulochytrium protostelioides,1555241,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A4P9Y844,169,,P-loop containing nucleoside triphosphate hydrolase protein,Piptocephalis cylindrospora,1907219,"GTPase activity, GTP binding",Hydrolase,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A4Z2GH88,169,,Ras-like protein family member 10B,Liparis tanakae (Tanaka's snailfish),230148,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A5J4NZ32,169,,Uncharacterized protein,Paragonimus westermani,34504,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A5S9QZC7,169,,Uncharacterized protein,BD1-7 clade bacterium,2029982,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A6A4IXQ1,169,,Uncharacterized protein,Apolygus lucorum (Plant bug) (Lygocoris lucorum),248454,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A6A5CBF1,169,,Uncharacterized protein,Naegleria fowleri (Brain eating amoeba),5763,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
B7PB89,169,8027316,"RAS-related protein, putative",Ixodes scapularis (Black-legged tick) (Deer tick),6945,"GTPase activity, GTP binding, sphingomyelin phosphodiesterase activity",Hydrolase,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
C4R3M6,169,8199412,GTP-binding protein of the ras superfamily required for bud site selection,Komagataella phaffii (strain GS115 / ATCC 20864) (Yeast) (Pichia pastoris),644223,"GTPase activity, GTP binding",nan,signal transduction,nan,Plasma Membrane,nan,nan,nan,Reference proteome,nan
E4WTY7,169,,Uncharacterized protein,Oikopleura dioica (Tunicate),34765,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
G4NCS1,169,2674199,Mitochondrial Rho GTPase,Magnaporthe oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958) (Rice blast fungus) (Pyricularia oryzae),242507,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
I1R991,169,23547540,Uncharacterized protein,Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1) (Wheat head blight fungus) (Fusarium graminearum),229533,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
I1RZV4,169,23556884,Uncharacterized protein,Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1) (Wheat head blight fungus) (Fusarium graminearum),229533,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
Q54FK4,169,8627833,Ras-related protein RabK1,Dictyostelium discoideum (Slime mold),44689,"GTPase activity, GTP binding",nan,phagosome-lysosome fusion,nan,"Endosome, Lysosome, Vacuole, Other locations",nan,nan,nan,Reference proteome,nan
R1E0V9,169,17262822,"IFT27, ras superfamily GTPase",Emiliania huxleyi (Pontosphaera huxleyi),2903,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
U7PJV8,169,,Uncharacterized protein,Sporothrix schenckii (strain ATCC 58251 / de Perez 2211183) (Rose-picker's disease fungus),1391915,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
W3WZA7,169,19273985,Uncharacterized protein,Pestalotiopsis fici (strain W106-1 / CGMCC3.15140),1229662,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
W4LJU3,169,,Uncharacterized protein,Candidatus Entotheonella factor,1429438,"ATPase activity, ATP binding, GTPase activity, GTP binding",nan,signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
A0A016T1V0,170,,Uncharacterized protein,Ancylostoma ceylanicum,53326,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A024GBC9,170,,Uncharacterized protein,Albugo candida,65357,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A024TXS0,170,20085354,Uncharacterized protein,Aphanomyces invadans,157072,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A075AR78,170,,Mitochondrial Rho GTPase,Rozella allomycis (strain CSF55),988480,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A0C9U8H4,170,,"Unplaced genomic scaffold SPHSTscaffold_180, whole genome shotgun sequence",Sphaerobolus stellatus (strain SS14),990650,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0G4IXT6,170,,Uncharacterized protein,Plasmodiophora brassicae (Clubroot disease),37360,"GTPase activity, GTP binding",nan,nan,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A1R2C0B3,170,,Uncharacterized protein,Stentor coeruleus,5963,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1W0E3S4,170,,RASD2,Enterocytozoon hepatopenaei,646526,"GTPase activity, GTP binding",nan,signal transduction,nan,Plasma Membrane,nan,nan,nan,Reference proteome,nan
A0A1X6NMU5,170,,Mitochondrial Rho GTPase,Porphyra umbilicalis (Purple laver) (Red alga),2786,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A250XSR8,170,,Uncharacterized protein,Chlamydomonas eustigma,1157962,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2J8ACY7,170,,Intraflagellar transport protein 27,Tetrabaena socialis,47790,"GTPase activity, GTP binding",nan,nan,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A2P6N585,170,,Feline leukemia virus subgroup C receptor-related protein 2-like isoform 2,Planoprotostelium fungivorum,1890364,"GTPase activity, GTP binding, transmembrane transporter activity",Receptor,small GTPase mediated signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A2R5GIL8,170,,Ras-related protein Rab-18,Hondaea fermentalgiana,2315210,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A3S0ZTI7,170,,Uncharacterized protein,Elysia chlorotica (Eastern emerald elysia) (Sea slug),188477,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A443RGH9,170,,GTP-binding protein GEM-like protein,Dinothrombium tinctorium,1965070,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A5B9DAW6,170,,Ras family protein,Candidatus Prometheoarchaeum syntrophicum,2594042,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A5B9DFX9,170,,Ras family protein,Candidatus Prometheoarchaeum syntrophicum,2594042,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A6A4K3Q0,170,,Uncharacterized protein,Apolygus lucorum (Plant bug) (Lygocoris lucorum),248454,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A6J8DDK2,170,,RASL10B,Mytilus coruscus (Sea mussel),42192,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
C4LSD7,170,3410692,Rho family GTPase,Entamoeba histolytica,5759,"GTPase activity, GTP binding, protein kinase binding",nan,"actin filament organization, cortical cytoskeleton organization, engulfment of apoptotic cell, establishment or maintenance of cell polarity, mitotic cytokinesis, regulation of actin cytoskeleton organization, regulation of cell shape",nan,"Cytoskeleton, Plasma Membrane, Other locations",nan,nan,nan,Reference proteome,nan
G4N9F5,170,2676929,Uncharacterized protein,Magnaporthe oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958) (Rice blast fungus) (Pyricularia oryzae),242507,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
H3EHL0,170,,G_PROTEIN_RECEP_F1_2 domain-containing protein,Pristionchus pacificus (Parasitic nematode),54126,"G protein-coupled receptor activity, GTPase activity, GTP binding","G-protein coupled receptor, Receptor, Transducer",nan,nan,Other locations,nan,nan,nan,Reference proteome,nan
I7MCK4,170,7833895,Small guanosine triphosphatase family Ras-related in brain (Rab) family protein,Tetrahymena thermophila (strain SB210),312017,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
K1RHE3,170,105328483,Rac-like GTP-binding protein 2,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),29159,"GTPase activity, GTP binding",nan,small GTPase mediated signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
Q3SCZ2,170,5024476,Rab_A19 protein,Paramecium tetraurelia,5888,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
Q6C2J1,170,2908415,Mitochondrial Rho GTPase 1,Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica),284591,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,"mitochondrion organization, regulation of mitochondrion organization",nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A0L0D8L8,171,25562314,Uncharacterized protein,Thecamonas trahens ATCC 50062,461836,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A0L0FE42,171,25912942,Uncharacterized protein,Sphaeroforma arctica JP610,667725,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A0L0FUZ9,171,25907684,Uncharacterized protein,Sphaeroforma arctica JP610,667725,"GTPase activator activity, GTPase activity, GTP binding, metal ion binding",GTPase activation,"positive regulation of GTPase activity, signal transduction",nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A0L0GFX1,171,25901210,Uncharacterized protein,Sphaeroforma arctica JP610,667725,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A0L8GWH5,171,106874377,Uncharacterized protein,Octopus bimaculoides (California two-spotted octopus),37653,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A0N4W491,171,,Uncharacterized protein,Haemonchus placei (Barber's pole worm),6290,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0N4WSX7,171,,Ribonuclease Z,Haemonchus placei (Barber's pole worm),6290,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,tRNA processing,nan,"Mitochondrion, Other locations",nan,nan,nan,Reference proteome,nan
A0A0V0QC90,171,,p-loop containing nucleoside triphosphate hydrolase,Pseudocohnilembus persalinus (Ciliate),266149,"GTPase activity, GTP binding",Hydrolase,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1J4KQW1,171,,Ras-related protein RABG3b,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1V9X5B6,171,,Cell division control protein 42-like,Tropilaelaps mercedesae,418985,"GTPase activity, GTP binding",nan,"cell division, small GTPase mediated signal transduction","Cell cycle, Cell division",nan,nan,nan,nan,Reference proteome,nan
A0A1Y1S756,171,,RAC7,Enterospora canceri,1081671,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
